日期,股价
2017/7/3,143.5
2017/7/5,144.09
2017/7/6,142.73
2017/7/7,144.18
2017/7/10,145.06
2017/7/11,145.53
2017/7/12,145.74
2017/7/13,147.77
2017/7/14,149.04
2017/7/17,149.56
2017/7/18,150.08
2017/7/19,151.02
2017/7/20,150.34
2017/7/21,150.27
2017/7/24,152.09
2017/7/25,152.74
2017/7/26,153.46
2017/7/27,150.56
2017/7/28,149.5
2017/7/31,148.73
2017/8/1,150.05
2017/8/2,157.14
2017/8/3,155.57
2017/8/4,156.39
2017/8/7,158.81
2017/8/8,160.08
2017/8/9,161.06
2017/8/10,155.32
2017/8/11,157.48
2017/8/14,159.85
2017/8/15,161.6
2017/8/16,160.95
2017/8/17,157.86
2017/8/18,157.5
2017/8/21,157.21
2017/8/22,159.78
2017/8/23,159.98
2017/8/24,159.27
2017/8/25,159.86
2017/8/28,161.47
2017/8/29,162.91
2017/8/30,163.35
2017/8/31,164
